School Name,Region,Undergraduate Major,Starting Median Salary,Mid-Career Median Salary,% Change in Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Others,Others,Nursing,54200,67000,23.61623616,47600,56400,80900,98300
Others,Others,Nutrition,39900,55300,38.59649123,33900,44500,70500,99200
Others,Others,Philosophy,39900,81200,103.5087719,35500,52800,127000,168000
Others,Others,Physician Assistant,74300,91700,23.41857335,66400,75200,108000,124000
Others,Others,Physics,50300,97300,93.43936382,56000,74200,132000,178000
Others,Others,Political Science,40800,78200,91.66666667,41200,55300,114000,168000
Others,Others,Psychology,35900,60400,68.24512535,31600,42100,87500,127000
Others,Others,Religion,34100,52000,52.49266862,29700,36500,70900,96400
Others,Others,Sociology,36500,58200,59.45205479,30700,40400,81200,118000
Others,Others,Spanish,34000,53100,56.17647059,31000,40000,76800,96400
"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,62400,114000,82.69230769,43408,94300,143000,142766
Pomona College,California,Liberal Arts,48600,101000,107.81893,43408,63300,161000,142766
Randolph-Macon College,Southern,Liberal Arts,42600,83600,96.24413146,43408,54100,123000,142766
Reed College,Western,Liberal Arts,40500,81100,100.2469136,43408,67400,101000,142766
Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,61100,110000,80.03273322,43408,85500,140000,142766
Rochester Institute of Technology (RIT),Northeastern,Engineering,48900,84600,73.00613497,43408,62100,112000,142766
Siena College,Northeastern,Liberal Arts,45500,85200,87.25274725,43408,58400,129000,142766
Skidmore College,Northeastern,Liberal Arts,41600,74600,79.32692308,43408,42800,147000,142766
Smith College,Northeastern,Liberal Arts,44000,83900,90.68181818,43408,59800,129000,142766
South Dakota School of Mines & Technology,Midwestern,Engineering,55800,93400,67.38351254,43408,81900,122000,142766
St. Olaf College,Midwestern,Liberal Arts,45300,86200,90.28697572,43408,61000,120000,142766
Stevens Institute of Technology,Northeastern,Engineering,60600,105000,73.26732673,43408,81900,138000,142766
Swarthmore College,Northeastern,Liberal Arts,49700,104000,109.2555332,43408,67200,167000,142766
Tennessee Technological University,Southern,Engineering,46200,80000,73.16017316,43408,62600,99500,142766
Thomas Aquinas College,California,Liberal Arts,41500,67500,62.65060241,43408,44600,93100,142766
Union College,Northeastern,Liberal Arts,47200,95800,102.9661017,43408,75200,135000,142766
University of Puget Sound,Western,Liberal Arts,46600,81500,74.89270386,43408,60100,104000,142766
University of Richmond,Southern,Liberal Arts,48600,94600,94.65020576,43408,59400,151000,142766
Ursinus College,Northeastern,Liberal Arts,42100,80000,90.02375297,43408,54300,100000,142766
Vassar College,Northeastern,Liberal Arts,46000,94600,105.6521739,43408,60600,123000,142766
Virginia Polytechnic Institute and State University (Virginia Tech),Southern,Engineering,53500,95400,78.31775701,43408,71400,124000,142766
Washington and Lee University,Southern,Liberal Arts,53600,104000,94.02985075,43408,82800,146000,142766
Wellesley College,Northeastern,Liberal Arts,42800,83500,95.09345794,43408,58600,125000,142766
Wentworth Institute of Technology,Northeastern,Engineering,53000,96700,82.45283019,43408,74000,117000,142766
"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,46500,97900,110.5376344,43408,62500,126000,142766
Whitman College,Western,Liberal Arts,43500,80100,84.13793103,43408,64800,111000,142766
Williams College,Northeastern,Liberal Arts,51700,102000,97.29206963,43408,76400,143000,142766
Wittenberg University,Midwestern,Liberal Arts,39200,78200,99.48979592,43408,54100,131000,142766
Worcester Polytechnic Institute (WPI),Northeastern,Engineering,61000,114000,86.8852459,43408,91200,137000,142766
